sample,diet,cohort,animal,age,group
1M1,CD,1,1,Old,Old CD
1M10,CD,1,10,Old,Old CD
1M11,CD,1,11,Old,Old CD
1M2,CD,1,2,Old,Old CD
1M3,CD,1,3,Old,Old CD
1M4,CD,1,4,Old,Old CD
1M5,ID,1,5,Old,Old ID
1M6,ID,1,6,Old,Old ID
1M7,ID,1,7,Old,Old ID
1M8,ID,1,8,Old,Old ID
1M9,ID,1,9,Old,Old ID
2M16,CD,2,16,Old,Old CD
2M17,CD,2,17,Old,Old CD
2M18,CD,2,18,Old,Old CD
2M19,CD,2,19,Old,Old CD
2M20,CD,2,20,Old,Old CD
2M22,ID,2,22,Old,Old ID
2M23,ID,2,23,Old,Old ID
2M24,ID,2,24,Old,Old ID
2M25,ID,2,25,Old,Old ID
2M26,ID,2,26,Old,Old ID
2M27,ID,2,27,Old,Old ID
2M28,ID,2,28,Old,Old ID
2M29,ID,2,29,Old,Old ID
2M30,ID,2,30,Old,Old ID
2M31,ID,2,31,Old,Old ID
2M32,ID,2,32,Old,Old ID
2M33,ID,2,33,Old,Old ID
4M1,CD,4,1,Young,Young CD
4M2,CD,4,2,Young,Young CD
4M3,CD,4,3,Young,Young CD
4M4,CD,4,4,Young,Young CD
4M5,CD,4,5,Young,Young CD
